name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
c14_age	Radiocarbon age	MIXS:99999971		The uncalibrated age from the laboratory measurement - i.e. the conventional radiocarbon age (CRA). Should be a conventional 14C age (i.e., 14C yr BP) NOT in AD/BC format. This is typically the 'raw' age reported by the radiocarbon lab, in Before Present (BP) notation.	{'value': '12560'}	investigation	dating	False		integer	True	True	{integer}		measurement	years before present (yr BP)
c14_age_error	Radiocarbon age uncertainty	MIXS:99999972		"The 1-sigma uncertainty around the conventional radiocarbon age (C14) measurement, normally indicated as a ± after the main age. Must be in the same format (i.e., y BP). Sometimes referred to as the ""error"" or ""sigma"" of the measurement."	{'value': '120'}	investigation	dating	False		integer	True	True	{integer}		measurement	years before present (yr BP)
c14_lab_id	Laboratory code for the age determination	MIXS:99999973		Unique laboratory identification number for the age measurement which is a combination of a lab identifier prefix, and a number, joined by a hyphen (see examples). The prefix should be derived from: https://radiocarbon.webhost.uits.arizona.edu/laboratories.	{'value': 'KN-1369'}	investigation	dating	False		string	True	True	{text}-{integer}		unique identifier	
c14_sample_taxid	Radiocarbon dating sample taxon	MIXS:99999990		NCBI taxon id of the organism from which the sample used to extract carbon used for radiocarbon measurement originated.	{'value': 'Hordeum'}	investigation	dating	False		string	True	False	{termLabel} [{termID}]|{text}		text	
calib_age_confidence	Confidence level of calibrated radiocarbon date	MIXS:99999982		Confidence level of the reported calibrated age range, typically in 2 (95.4%) or 1 (68.2%) 'sigma' values.	{'value': '0.682'}	investigation	dating	True		string	True	False	{float}		enumeration	
calib_age_era	Calendar era of calibrated radiocarbon date	MIXS:99999981		Calendar era used for the calibrated interval, i.e., whether in  cal AD/BC, cal CE/BCE, cal BP. Note the abbreviation BP is to be used for uncalibrated 14C determinations only, therefore cal BP must be used here.	{'value': 'cal BCE'}	investigation	dating	True		RadiocarbonCalibEra	True	False	{text}		enumeration	
calib_age_oldest	Radiocarbon calibration age lower limit	MIXS:99999980		Upper bound (oldest plausible age) of the credible calibrated age interval of the sample at the specified confidence level. Calendar timescale to be specified: AD/BC, CE/BCE, cal BP. Note: the abbreviation 'BP' is to be used for uncalibrated 14C determinations, cal BP must be used here.	{'value': '1453'}	investigation	dating	True		integer	True	False	{integer}		measurement	calibrated years before present (cal BP)
calib_age_youngest	Radiocarbon calibration age upper limit	MIXS:99999979		Lower bound (youngest plausible age) of the credible calibrated age interval of the sample at the specified confidence level. Calendar timescale to be specified: AD/BC, CE/BCE, cal BP. The abbreviation BP is to be used for uncalibrated 14C determinations, cal BP must be used here.	{'value': '1500'}	investigation	dating	True		integer	True	False	{integer}		measurement	calibrated years before present (cal BP)
calib_curve	Radiocarbon calibration curve name	MIXS:99999983		Name of calibration curve used during radiocarbon date calibration. If a Marine curve is selected, the localised reservoir offset should be specified.	{'value': 'Bomb21NH3'}	investigation	dating	True		CalibCurve	True	False	{text}		enumeration	
calib_software	Radiocarbon calibration software	MIXS:99999984		Details of the software (name, version, settings, citation, etc.) used to calulated the calibrated radiocarbon date.	{'value': 'CALIB'}	investigation	dating	True		string	True	False	{text}		text	
