name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
c14_date	Radiocarbon date	MIXS:99999971		The uncalibrated date from the laboratory measurement. Should be a conventional 14C date (i.e., 14C yr BP), or a fraction-corrected fraction modern (F14C).  This is typically the 'raw' date reported by the radiocarbon lab in Before Present (BP) notation.				False		integer	True	True	{integer} {unit}			
c14_date_lab_code	Laboratory code for the date determination	MIXS:99999973		Unique laboratory identification number which is a combination of a lab identifier prefix, and a number. The prefix should be derived from: https://radiocarbon.webhost.uits.arizona.edu/laboratories.				False		string	True	True	{text}-{integer}			
c14_date_sd	Radiocarbon date standard deviation	MIXS:99999972		The one standard deviation around the 'raw' C14 Date measurement . Must be in the same format (e.g., y BP, or F14C).				False		integer	True	True	{integer} {unit}			
calib_age_bottom	Radiocarbon calibration age lower limit	MIXS:99999980		Lower (youngest) range of calibrated age. Calendar timescale to be specified: AD/BC, CE/BCE, cal BP. Note: the abbreviation 'BP' is to be used for uncalibrated 14C determinations, cal BP must be used here.	{'value': '1500 AD'}	investigation	dating	True		integer	True	False	{integer} {unit}		measurement	calibrated years before present (cal BP)
calib_age_prob	Radiocarbon calibration age probability	MIXS:99999981		Probability of the reported upper and lower calibrated age range, typically in 1 or 2 levels of significance. This is typically specified as 68.2% or 95%, however should be specified.	{'value': '68.2%'}	investigation	dating	True		integer	True	False	{integer} {unit}		probability value in percentage	
calib_age_upper	Radiocarbon calibration age upper limit	MIXS:99999979		Upper (oldest) range of calibrated age. Calendar timescale to be specified: AD/BC, CE/BCE, cal BP. The abbreviation BP is to be used for uncalibrated 14C determinations, cal BP must be used here.	{'value': '1453 AD'}	investigation	dating	True		integer	True	False	{integer} {unit}		measurement	calibrated years before present (cal BP)
calib_citation	Radiocarbon calibration software citation	MIXS:99999986		The DOI, URL or citation information of the publication where the calibration software was originally described.	{'value': 'Ramsey 2009, Radiocarbon'}	investigation	dating	True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$|([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True	False		{'syntax': '^{PMID}|{DOI}|{URL}|{text}$', 'interpolated': False, 'partial_match': False}	text	
calib_curve	Radiocarbon calibration curve name	MIXS:99999982		Name of calibration curve used during radiocarbon date calibration.	{'value': 'Bomb21NH3'}	investigation	dating	True		CalibCurve	True	False	{text}		enumeration	
calib_settings	Radiocarbon calibration software settings	MIXS:99999985		Settings used with the calibration software, including models (where used).	{'value': '-m 10'}	investigation	dating	True		string	True	False	{text}		text	
calib_software	Radiocarbon calibration software	MIXS:99999983		The name of the software used to generated the calibrated version of the laboratory measurement date.	{'value': 'CALIB'}	investigation	dating	True		string	True	False	{text}		text	
calib_version	Radiocarbon calibration software version	MIXS:99999984		Version of the calibration software used for calibration.	{'value': '4.4'}	investigation	dating	True		string	True	False	{text}		version	
carb_nitro_ratio	carbon/nitrogen ratio	MIXS:0000310		Ratio of amount or concentrations of carbon to nitrogen. Used for quality control value in proteinaceous samples for radiocarbon dating.	{'value': '0.417361111'}		carbon|nitrogen|ratio	False		float	True	False	{float}:{float}		measurement value	
carbon_perc	Carbon percentage	MIXS:99999978		The percentage of carbon in a non-proteinaceous sample used for dating (such as charcoal), expressed as a percentage (%). Used as a quality control measurement.	{'value': '45.1'}	investigation	dating	False		float	True	True	{float} {unit}		measurement	percent (%)
delta_13_c	Delta 13C value	MIXS:99999976		The delta carbon-13 value of the sample (δ13C), which is the ratio of the stable isotope 13C to 12C, expressed in per mil (‰) notation. Used as a quality control measurement.	{'value': '-20.1'}	investigation	dating	False		string	True	True	{float}		measurement	per mil (‰)
delta_13_c_method	Delta 13C measurement method	MIXS:99999977		Which spectrophotometry method was used to measure the delta carbon-13 value, either with  Isotope Ratio Mass Spectrometer (IRMS) or Accelerated Mass Spectrometer (AMS).	{'value': 'imrs'}	investigation	dating			MsMethod	True	False	{text}		enumeration	
reservoir_offset	Reservoir offset	MIXS:99999987		The offset in years used to modify the calibration curve to account for the marine reservoir effect, if any.	{'value': '0.3 F14C'}	investigation	dating	True		integer	False	False	{integer} {unit}		measurement	years before present (yr BP)
reservoir_offset_sd	Reservoir offset standard deviation	MIXS:99999988		The standard deviation offset in years used to modify the calibration curve to account for the marine reservoir effect, if any.	{'value': '0.00054 F14C'}	investigation	dating	True		integer	False	False	{integer} {unit}		measurement	years before present (yr BP)
sample_material	Radiocarbon dating sample material	MIXS:99999974		Material of the sample used to extract carbon used for radiocarbon dating measurements. Use ontology terms where possible, e.g. from UBERON for anatomical parts, or ENVO for other organic samples.	{'value': 'wood fragment'}	investigation	dating	False		string	True	False	{termLabel} [{termID}]|{text}		text	
